job_title,company,job_profile,description,location,Level,Type,StandardJobTitle
CAD Engineer,United,https://wuzzuf.net/jobs/p/f4383a0e-2bd8-4283-8939-856a0ebf74a0-CAD-Engineer-United-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1408,"Full Time · Experienced · 3-5 Yrs of Exp · CAD · Design · AutoCAD · Engineering · IT · Creative/Design/Art · Engineering - Other - September 27, 2020","New Cairo, Cairo",Experienced,Full Time,Software Engneering 
Electronics Maintenance Engineer,INFINITY EGYPT,https://wuzzuf.net/jobs/p/edb6815b-466f-4de6-8428-8802619421a5-Electronics-Maintenance-Engineer-INFINITY-EGYPT-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1419,"Full Time · Experienced · 5-15 Yrs of Exp · Males Only · Electronics · Maintenance · Electonics Engineering · Communication Engineering · Communication · Engineering · Installation - November 15, 2020","Dokki, Giza",Experienced,Full Time,Software Engneering 
EAI Middleware Engineer (CHS),Cegedim,https://wuzzuf.net/jobs/p/b8a5c61a-e005-4b8d-b9f4-fe8bb6a4cdb6-EAI-Middleware-Engineer-CHS-Cegedim-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1414,"Full Time · Experienced · 5-10 Yrs of Exp · EAI Middleware Engineering · Computer Science · Computer Engineering · Information Technology (IT) · Software Development · ESB Architecture · EAI · ETL - November 3, 2020","New Cairo, Cairo",Experienced,Full Time,Software Engneering 
Systems Administrator,Nile University,https://wuzzuf.net/jobs/p/2e37c85a-a068-4176-af7d-2ebdc0136375-Systems-Administrator-Nile-University-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1418,"Full Time · Experienced · 5+ Yrs of Exp · Information Technology (IT) · Computer Science · Engineering · Linux · Maintenance · Software · SQL · Installation · MySQL · System Administration - November 4, 2020","6th Of October, Giza",Experienced,Full Time,Software Engneering 
Senior Business Analyst - Cairo,Unicom Group,https://wuzzuf.net/jobs/p/da1f6ec2-0849-491b-a845-a72db4fd6d60-Senior-Business-Analyst---Cairo-Unicom-Group-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1409,Full Time · Experienced · 3+ Yrs of Exp · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Computer Engineering · Software Development · Engineering · Development - New,"Maadi, Cairo",Experienced,Full Time,Software Engneering 
Senior Computer Vision Engineer,Hidden Name,https://wuzzuf.net/jobs/p/2edf926c-6f74-45c5-88d6-ab4f86820b2d-Senior-Computer-Vision-Engineer-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1420,"Full Time · Experienced · 4+ Yrs of Exp · Mobile Image Processing · Computer Science · OpenCV · OpenGL · Bitbucket · Robust · PRD · Objective-C · Image Processing · C++ · Python · Tensorflow - October 21, 2020","Nasr City, Cairo",Experienced,Full Time,Software Engneering 
Senior ICT Support Technician,Hidden Name,https://wuzzuf.net/jobs/p/6a043345-828f-43b9-96e0-7e140aa852a9-Senior-ICT-Support-Technician-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1404,"Full Time · Experienced · 7+ Yrs of Exp · Computer Science · Information Technology · Business Administration · ITIL · Installation · Troubleshooting · Configuring · Cyber Security · CCNA · MCITP - November 16, 2020","Cairo, Egypt",Experienced,Full Time,Software Engneering 
SIS Implementation Engineer,classera.,https://wuzzuf.net/jobs/p/4a96d5e9-07d8-40eb-adee-a1f7d605fbbf-SIS-Implementation-Engineer-classera-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1401,"Full Time · Experienced · 3-5 Yrs of Exp · IT · SQL · Computer Science · Computer Engineering · HTML5 · CSS · Kendo · Angular · jQuery · JavaScript · Web Development · ASP.NET · Quality - October 18, 2020","Cairo, Egypt",Experienced,Full Time,Software Engneering 
Sales Representative,unilearn,https://wuzzuf.net/jobs/p/25cd1a04-ba38-497b-9f4b-110b9dac812c-Sales-Representative-unilearn-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1403,"Full Time · Part Time · Shift Based · Experienced · 2-5 Yrs of Exp · Sales · Customer Service · English · B2B · IT Sales · Software · Management · Negotiation Skills · Presentation Skills - November 5, 2020","6th Of October, Giza",Experienced,Full Time,Software Engneering 
Office Manager,Innovety,https://wuzzuf.net/jobs/p/8aa85f38-bb81-4bfa-999d-eb95c52d68f2-Office-Manager-Innovety-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1405,"Full Time · Experienced · 4+ Yrs of Exp · Microsoft Office · Office Management · Administration · Financial Management · Operations · Interpersonal Skills · CEO Assistant · Administration - October 14, 2020","Sheikh Zayed, Giza",Experienced,Full Time,Software Engneering 
