job_title,company,job_profile,description,location,Level,Type,StandardJobTitle
IT HelpDesk - Hurghada,Somabay,https://wuzzuf.net/jobs/p/5db80918-801f-4d3b-844b-3077e3a4ca6f-IT-HelpDesk---Hurghada-Somabay-Red-Sea-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=185,"Full Time · Entry Level · 0-2 Yrs of Exp · MCSA · CCNA · Maintenance · Installation · Information Technology (IT) · Computer Science · Computer Engineering · Help-desk · IT/Software Development - October 13, 2020","Hurghada, Red Sea",Entry Level,Full Time,IT Category
IT Help Desk Specialist,ADK Egyptian-German Cultural Centre,https://wuzzuf.net/jobs/p/3b3e39fa-ac41-44d0-bc9c-190973fe5864-IT-Help-Desk-Specialist-ADK-Egyptian-German-Cultural-Centre-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=186,"Full Time · Entry Level · 1-3 Yrs of Exp · Computer Systems · Information Technology (IT) · Technician · Computer · IT Help Desk · Technical · IT · Help Desk · Computer Science · English · Arabic - November 1, 2020","Heliopolis, Cairo",Entry Level,Full Time,IT Category
Junior Software Engineer,MegaSoft,https://wuzzuf.net/jobs/p/14e34fdc-df9f-4b1c-8249-edc844a446c9-Junior-Software-Engineer-MegaSoft-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=191,"Full Time · Entry Level · 0-2 Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Java · IBM · Service Management · Software · Database - November 3, 2020","Heliopolis, Cairo",Entry Level,Full Time,Software Engneering 
Back End Developer - PHP Laravel,Skep Home,https://wuzzuf.net/jobs/p/02a8e1c4-0ca8-4b65-b635-274bdf832596-Back-End-Developer---PHP-Laravel-Skep-Home-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=183,"Full Time · Entry Level · 1-5 Yrs of Exp · Laravel · Computer Science · Software Development · Software Engineering · HTML · Information Technology (IT) · PHP · MySQL · Java · AWS · APIs - November 2, 2020","Cairo, Egypt",Entry Level,Full Time,Software Engneering 
IP Core Network Engineer,Silicon21,https://wuzzuf.net/jobs/p/31fc8607-9a19-4653-b683-13eb5cf7f1aa-IP-Core-Network-Engineer-Silicon21-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1802,"Full Time · Entry Level · 1-5 Yrs of Exp · Information Technology (IT) · Engineering · Networking · Communication · Data Center · Installation/Maintenance/Repair · Engineering - Telecom/Technology - November 3, 2020","Nasr City, Cairo",Entry Level,Full Time,Software Engneering 
Product Owner - Alexandria,Softxpert Incorporation,https://wuzzuf.net/jobs/p/b871b3db-705a-4651-95ac-928ab9e27df2-Product-Owner---Alexandria-Softxpert-Incorporation-Alexandria-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1805,"Full Time · Entry Level · 1-4 Yrs of Exp · Computer Science · Engineering · Agile · Business Analysis · Business · Information Technology (IT) · Business Development · Computer Engineering - October 12, 2020","Alexandria, Egypt",Entry Level,Full Time,Software Engneering 
Creative Graphic Design Intern,STEP,https://wuzzuf.net/internship/fa4a0f82-1eeb-45e0-9cf1-a82c2b8f7961-Creative-Graphic-Design-Intern-STEP-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1806,"Internship · Entry Level · 0-1 Yrs of Exp · Females Only · Graphic Design · Adobe Photoshop · Adobe Illustrator · Adobe Indesign · Motion Graphics · Visualization · Drawing · Sketches · Design - November 19, 2020","New Cairo, Cairo",Entry Level,Internship,Software Engneering 
Call Center Representative - Assiut,Orange Egypt,https://wuzzuf.net/jobs/p/02fd452e-5036-4e70-9967-effce0c00ba7-Call-Center-Representative---Assiut-Orange-Egypt-Assiut-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1832,"Full Time · Entry Level · 0-2 Yrs of Exp · Call Center · Customer Service · Customer Care · Communication · Customer · Customer Support · Computer Skills · English · Computer · Management · Skills - November 16, 2020","Assiut, Egypt",Entry Level,Full Time,Software Engneering 
Light Current Pre -Sales Engineer,Electro Mechanic for Energy (EME),https://wuzzuf.net/jobs/p/ce61c0b2-b43b-47db-a79c-cc8e28f50794-Light-Current-Pre--Sales-Engineer-Electro-Mechanic-for-Energy-EME-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1822,"Full Time · Entry Level · 1-5 Yrs of Exp · Sales · Installation · Light Current · Communication · Access Control · Fire Alarm · Engineering · Sales Skills · Visio · Information Technology (IT) - October 14, 2020","New Heliopolis, Cairo",Entry Level,Full Time,Software Engneering 
Partnership Associate,Paymob Solutions,https://wuzzuf.net/jobs/p/def68a8d-91df-4661-82fc-a4916d85772f-Partnership-Associate-Paymob-Solutions-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1854,Full Time · Entry Level · 1-2 Yrs of Exp · B2B Sales · Account Management · Sales · Sales Skills · Microsoft Office · PowerPoint · Outlook · Business Development · Marketing/PR/Advertising - New,"Maadi, Cairo",Entry Level,Full Time,Software Engneering 
